ELŻBIETA,1948-10-20
KAROL,1945-10-27
ANITA,1959-03-23
WŁADYSŁAW,1960-05-09
AMELIA,1999-03-25
WIKTOR,1975-08-01
JANINA,1996-06-08
STEFAN,1967-08-04
RENATA,1998-04-06
JERZY,1988-05-31
BARBARA,1979-01-28
TYMOTEUSZ,1959-05-02
GABRIELA,1987-12-23
KRZYSZTOF,1948-10-04
GRAŻYNA,1979-12-17
SZYMON,1959-09-22
KINGA,1973-02-26
MARCEL,1956-04-02
DOROTA,1952-02-25
MICHAŁ,1990-11-29
MIROSŁAWA,1971-09-26
MAKSYMILIAN,1996-01-24
JOLANTA,1979-06-28
TYMON,1985-06-07
KAROLINA,1979-08-12
CEZARY,1992-08-15
IRENA,1964-04-03
CEZARY,1994-02-10
REGINA,1970-10-15
ZENON,1975-04-19
ANIELA,1988-12-19
WIKTOR,1975-06-06
MIROSŁAWA,1981-11-15
EUGENIUSZ,1980-10-18
JULIA,2000-05-05
WIKTOR,1999-10-28
SABINA,1983-02-07
IGOR,1957-01-11
ALICJA,1953-08-19
MICHAŁ,1951-04-19
SABINA,1970-08-25
ANDRZEJ,1996-08-09
GENOWEFA,1958-01-28
ANDRZEJ,1993-05-25
WERONIKA,1951-02-17
DOMINIK,1955-07-10
ILONA,1993-03-17
MARCEL,1953-06-11
LENA,1957-11-19
WITOLD,1963-07-27
DARIA,1986-09-26
ZBIGNIEW,1978-02-18
DANUTA,1981-04-28
TYMON,1977-08-04
PAULINA,1985-05-19
MICHAŁ,1945-01-19
AGATA,1952-04-05
KAZIMIERZ,1999-01-11
HENRYKA,1954-02-12
ANDRII,1968-12-07
JANINA,1946-10-03
JACEK,1990-05-03
LAURA,1969-07-31
ARKADIUSZ,1972-09-17
MARLENA,1952-10-20
KRYSTIAN,1982-01-05
GENOWEFA,1992-04-08
GABRIEL,1984-12-20
SABINA,1954-05-10
PRZEMYSŁAW,1984-06-14
BARBARA,1984-12-14
GABRIEL,1984-05-05
SANDRA,1997-12-29
KONRAD,1972-02-15
ANITA,1985-10-19
ADRIAN,2000-08-01
GENOWEFA,1960-12-02
ARKADIUSZ,1983-05-02
MONIKA,1959-01-21
WITOLD,1989-02-04
REGINA,1958-04-26
PATRYK,1975-01-13
KATARZYNA,1986-10-25
PATRYK,1963-11-12
HANNA,1992-06-21
BOGUSŁAW,1961-03-25
ILONA,1982-01-29
OSKAR,1955-12-10
ŁUCJA,1957-06-03
MIŁOSZ,1998-09-28
IRENA,1988-10-06
SERHII,1964-12-18
ANETA,1990-04-01
STANISŁAW,1951-07-11
REGINA,1992-11-30
MIKOŁAJ,1965-07-04
ANITA,1955-04-23
FABIAN,1978-03-11
DOMINIKA,1973-08-19
JANUSZ,1996-03-20
ZUZANNA,1997-11-15
EDWARD,1971-09-17
MARIOLA,1976-07-07
PATRYK,1991-03-19
SYLWIA,1953-12-09
MICHAŁ,1980-08-25
ANIELA,1948-11-15
ADAM,1954-10-14
WERONIKA,1965-01-12
WITOLD,1985-07-25
LENA,1982-10-16
MIECZYSŁAW,1974-11-10
STANISŁAWA,1971-07-05
KONRAD,1973-02-14
AMELIA,1959-12-02
NORBERT,1978-03-27
ANGELIKA,1999-09-08
KAROL,1953-10-14
KATARZYNA,1981-06-14
DOMINIK,1981-08-29
LILIANA,1994-04-08
RAFAŁ,1985-05-08
WERONIKA,1972-07-11
WŁADYSŁAW,1986-05-15
MARLENA,1945-06-03
JANUSZ,2000-03-15
SABINA,1977-03-22
WIESŁAW,1964-10-20
DOMINIKA,1968-08-13
JAN,1956-06-13
LENA,1993-12-03
ALEKSANDER,1973-02-23
LILIANA,1987-09-10
MARIUSZ,1989-03-21
JAGODA,1991-01-27
MARCEL,1965-12-10
MAGDALENA,2000-06-03
PATRYK,1997-09-02
KRYSTYNA,1958-07-25
CEZARY,1990-01-13
PATRYCJA,1976-03-22
MARIAN,1946-09-23
WANDA,1984-07-15
DARIUSZ,1994-03-09
IGA,1981-10-29
MAREK,1964-07-18
MARIA,1955-09-08
DOMINIK,1973-09-30
MILENA,1987-11-03
WITOLD,1976-04-13
MILENA,1972-10-07
KRZYSZTOF,1981-02-04
MARCELINA,1955-08-15
SZYMON,1999-11-04
CZESŁAWA,1963-04-03
MIKOŁAJ,1962-07-16
MARIOLA,1986-12-21
KRYSTIAN,1953-12-25
GENOWEFA,1964-05-16
DOMINIK,1998-05-13
MARTYNA,1952-06-04
OLEKSANDR,1998-06-17
JULIA,1965-04-17
WOJCIECH,1972-07-20
MARTYNA,1970-10-03
JERZY,1996-10-30
ANNA,2001-03-18
JAN,1954-05-03
JULIA,1993-11-20
IGNACY,1977-09-08
KAZIMIERA,1947-10-17
KACPER,1984-04-24
NATALIA,1951-08-07
IGOR,1958-06-29
PATRYCJA,1959-03-21
JERZY,1973-11-30
AMELIA,1989-07-26
FRANCISZEK,1989-06-05
OLIWIA,1995-10-01
EDWARD,1980-12-20
ALEKSANDRA,1998-12-08
JACEK,1994-04-30
ANTONINA,1984-12-07
NIKODEM,1961-12-29
REGINA,1967-05-02
VOLODYMYR,1957-10-06
DOMINIKA,1961-02-09
SEBASTIAN,1966-11-12
JOLANTA,1959-06-16
CEZARY,1970-11-01
ANNA,1991-04-07
MARCIN,1987-05-20
OLGA,1987-03-28
PRZEMYSŁAW,1953-05-25
BEATA,1971-01-27
LESZEK,1982-11-27
JÓZEFA,1958-08-31
DAMIAN,1999-02-12
JOLANTA,1976-04-03
GRZEGORZ,1976-11-06
MARZENA,1997-01-20
TYMON,1982-12-30
JANINA,1987-04-26
IGNACY,1964-02-17
JOANNA,1983-12-23
FABIAN,1979-10-23
JUSTYNA,1985-03-25
JAN,2001-10-26
LILIANA,1976-11-28
KACPER,1964-02-23
BARBARA,1991-12-09
MARIUSZ,1980-11-13
HALINA,1981-05-23
MARCEL,1964-12-23
URSZULA,1988-05-06
TYMON,1984-04-20
KAROLINA,2001-10-01
MAREK,1979-07-19
MARIOLA,1956-04-12
ALAN,1981-06-07
EWA,1997-10-19
WŁODZIMIERZ,1980-10-14
AGNIESZKA,1966-10-22
MAREK,1982-02-14
JOLANTA,1999-12-26
DAWID,1954-09-01
JULIA,1966-10-20
EDWARD,1951-05-12
ALINA,1986-09-15
WIKTOR,1952-11-05
PATRYCJA,1970-06-02
FRANCISZEK,1999-03-04
AGNIESZKA,1950-01-18
MAKSYMILIAN,1986-10-18
IRENA,1992-08-22
ALEKSANDER,1982-05-26
WŁADYSŁAWA,1962-04-06
EUGENIUSZ,1958-08-04
WIOLETTA,1988-10-28
KAMIL,1965-12-10
OLGA,1971-07-23
SZYMON,1952-09-09
HENRYKA,1951-05-13
IRENEUSZ,1955-09-10
KAMILA,1965-08-07
JAKUB,1946-10-16
GABRIELA,1984-03-23
JAROSŁAW,1975-08-29
EWA,2001-01-21
ROBERT,1953-07-03
BOŻENA,1968-12-10
ANTONI,1954-04-15
BARBARA,1945-11-04
ARKADIUSZ,1987-02-08
PAULINA,1988-01-28
KAZIMIERZ,1949-11-10
KINGA,1952-10-24
ŁUKASZ,1960-08-31
SANDRA,1988-07-09
JERZY,1946-02-02
JULIA,1953-10-26
VOLODYMYR,1974-08-09
JADWIGA,1992-10-07
KRZYSZTOF,1988-01-18
MIROSŁAWA,1974-03-31
JAROSŁAW,2000-01-24
AMELIA,1987-05-17
TYMOTEUSZ,1986-09-23
MONIKA,1971-12-24
EUGENIUSZ,1984-06-05
WIESŁAWA,2001-03-10
WIKTOR,1999-10-19
BARBARA,1996-10-14
GRZEGORZ,1959-05-11
STEFANIA,1967-11-15
BARTOSZ,2000-03-27
WERONIKA,1974-07-17
RYSZARD,1983-07-17
URSZULA,1977-01-14
DAWID,1964-11-06
HALINA,1982-03-25
EUGENIUSZ,1947-02-03
JÓZEFA,1991-07-29
DARIUSZ,1952-10-25
SANDRA,1994-06-14
BOGUSŁAW,1994-10-13
PATRYCJA,1961-07-05
PATRYK,1964-12-29
IRENA,2000-02-24
KAZIMIERZ,1947-02-22
DOMINIKA,1987-06-12
DANIEL,1970-08-03
WIESŁAWA,1949-01-23
ADRIAN,1974-10-27
CZESŁAWA,1948-02-29
MARIUSZ,1971-10-12
STANISŁAWA,1981-12-11
JÓZEF,1985-08-30
AMELIA,1987-05-13
IGNACY,1989-02-06
KRYSTYNA,1968-08-22
MICHAŁ,1978-10-21
IWONA,1997-05-09
TADEUSZ,1974-10-24
GABRIELA,1995-02-05
STANISŁAW,1963-02-19
KATARZYNA,1976-09-26
KRYSTIAN,1965-10-17
WERONIKA,1994-01-16
SEBASTIAN,1993-09-01
KATARZYNA,1989-07-02
ZENON,1961-03-13
STEFANIA,1962-10-14
PAWEŁ,1968-11-18
TERESA,1954-10-27
PAWEŁ,1982-10-16
HENRYKA,1971-07-09
SZYMON,1987-03-09
BARBARA,1966-03-13
OLIWIER,2000-11-17
MILENA,1976-08-10
WŁADYSŁAW,1953-06-30
ALICJA,1978-12-24
JERZY,1998-08-13
NIKOLA,1966-03-23
FABIAN,1981-10-04
MAJA,1988-09-12
SEBASTIAN,1979-04-23
JOANNA,1997-12-01
DAMIAN,1996-02-13
JUSTYNA,1993-06-28
ALEKSANDER,1993-12-26
DARIA,1962-06-14
ARKADIUSZ,1974-04-13
ANIELA,1993-09-15
DARIUSZ,1993-03-25
NIKOLA,1949-07-24
ADAM,1976-06-04
DOMINIKA,1977-07-17
ZYGMUNT,1995-06-22
IRENA,1983-02-27
JACEK,1958-12-23
URSZULA,1991-06-04
MARIAN,1991-09-15
JANINA,1952-04-26
TYMON,1958-10-06
BOŻENA,1976-06-09
OLIWIER,2001-04-18
ANNA,1996-11-07
SZYMON,1979-04-21
PATRYCJA,1987-04-17
ŁUKASZ,1990-03-06
NATALIA,1985-01-12
IRENEUSZ,1961-07-13
HENRYKA,1988-07-03
OLIWIER,1968-08-29
JAGODA,1997-12-13
SERHII,1993-06-12
JADWIGA,1978-11-01
DARIUSZ,1973-12-26
BEATA,1963-03-03
SERHII,1960-12-10
LIDIA,1968-02-09
EUGENIUSZ,1984-08-10
ELŻBIETA,1963-12-19
ALAN,1994-10-29
ANGELIKA,1970-03-18
SYLWESTER,1982-09-12
GABRIELA,1960-01-16
JAROSŁAW,1973-02-02
BOGUSŁAWA,1945-07-05
MARCEL,1994-04-08
KAMILA,1967-12-09
FABIAN,1948-02-01
WŁADYSŁAWA,1968-03-14
ZDZISŁAW,1971-12-26
MIROSŁAWA,1998-03-10
KAROL,1979-01-14
EWELINA,1950-10-19
MAKSYMILIAN,1962-01-19
GENOWEFA,1992-11-08
KRZYSZTOF,1989-06-13
MAGDALENA,1972-12-24
MIECZYSŁAW,1947-02-21
MAGDALENA,1973-07-16
PATRYK,1969-09-05
WIESŁAWA,1966-10-30
IGOR,1993-06-06
KLAUDIA,1988-11-20
WŁODZIMIERZ,1982-01-15
MONIKA,1970-04-04
EUGENIUSZ,1976-10-11
MARIOLA,1996-05-19
WŁADYSŁAW,1991-02-02
EWA,1979-04-07
TOMASZ,1978-06-10
LILIANA,1959-06-12
SŁAWOMIR,1974-07-12
AMELIA,1971-05-28
STEFAN,2000-11-17
ZUZANNA,1977-06-13
KONRAD,1970-04-22
GENOWEFA,1972-03-07
